type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,EMB,ASX,EMB,EMBELTON LIMITED,14063195,,AU000000EMB8,Q34809105,AUD,AU,T,F,e1442338,1
STK,EMC,ASX,EMC,EVEREST METALS CORP LTD,602063048,,AU0000258170,Q92695172,AUD,AU,T,F,e1439293,1
STK,EMD,ASX,EMD,EMYRIA LTD,403503452,,AU0000073645,Q34650103,AUD,AU,T,F,e3690070,1
STK,EME,CHIXAU,EME,ENERGY METALS LTD,54443604,,AU000000EME2,Q3513A103,AUD,AU,,F,e1404133,1
STK,EMH,ASX,EMH,EUROPEAN METALS HOLDINGS-DI,147967929,,AU000000EMH5,G3194G107,AUD,AU,T,F,e1655480,1
STK,EML,ASXCEN,EML,EML PAYMENTS LTD,117704219,,AU000000EML7,Q3482X100,AUD,AU,,F,e1438537,1
STK,EMN,CHIXAU,EMN,EURO MANGANESE INC-CDI,335729773,,AU0000022451,C3405G106,AUD,AU,,T,e3292617,1
STK,EMP,ASX,EMP,EMPEROR ENERGY LTD,297593934,,AU000000EMP8,Q3482A100,AUD,AU,T,F,e1438970,1
STK,EMR,ASX,EMR,EMERALD RESOURCES NL,44200663,,AU000000EMR4,Q3464L108,AUD,AU,T,F,e1438776,1
STK,EMS,CHIXAU,EMS,EASTERN METALS LTD,522713986,,AU0000173304,Q3369K106,AUD,AU,,F,e4528384,1
STK,EMT,ASXCEN,EMT,EMETALS LTD,400737513,,AU0000076200,Q3465D105,AUD,AU,,F,e1615584,1
STK,EMU,ASX,EMU,EMU NL,700938339,,AU000000EMU8,Q34824104,AUD,AU,T,F,e1449261,1
STK,EMV,CHIXAU,EMV,EMVISION MEDICAL DEVICES LTD,345521595,,AU0000028375,Q34825101,AUD,AU,,F,e3297470,1
STK,ENL,CHIXAU,ENL,ENLITIC INC,673360085,,AU0000305427,,AUD,AU,,F,e5452233,1
STK,ENN,ASXCEN,ENN,ELANOR INVESTOR GROUP,160421216,,AU000000ENN1,Q3393L104,AUD,AU,,F,e2591944,1
STK,ENP,CHIXAU,ENP,ENTROPY NEURODYNAMICS LTD,833195133,,AU0000433583,Q9240A142,AUD,AU,,F,e3297780,1
STK,ENR,ASX,ENR,ENCOUNTER RESOURCES LTD,44200868,,AU000000ENR2,Q34820102,AUD,AU,T,F,e1438826,1
STK,ENT,CHIXAU,ENT,ENTERPRISE METALS LTD,56464226,,AU000000ENT8,Q3527P104,AUD,AU,,F,e1441877,1
STK,ENV,CHIXAU,ENV,ENOVA MINING LTD,423811583,,AU0000089351,Q3R25S106,AUD,AU,,F,e1438686,1
STK,ENX,ASX,ENX,ENEGEX LTD,135931771,,AU000000ENX0,Q3482M104,AUD,AU,T,F,e1682628,1
STK,EOL,ASXCEN,EOL,ENERGY ONE LTD,44200673,,AU000000EOL3,Q3504Y102,AUD,AU,,F,e1438779,1
STK,EOS,ASXCEN,EOS,ELECTRO OPTIC SYSTEMS HOLDIN,44200878,,AU000000EOS8,Q34521106,AUD,AU,,F,e1438828,1
STK,EPI,ASX,EPI,EPIMINDER LTD,835390623,,AU0000432239,,AUD,AU,T,F,e6151788,1
STK,EPM,ASX,EPM,ECLIPSE METALS LTD,110321639,,AU000000EPM8,Q3383P107,AUD,AU,T,F,e1622944,1
STK,EPN,ASX,EPN,EPSILON HEALTHCARE LTD,473470013,,AU0000137598,Q35522103,AUD,AU,T,F,e3250983,1
STK,EPX,CHIXAU,EPX,EPX LTD,490589886,,AU0000141525,Q3556K109,AUD,AU,,F,e4313314,1
STK,EPY,CHIXAU,EPY,EARLYPAY LTD,457068863,,AU0000119570,Q3325U107,AUD,AU,,F,e1596304,1
# STK,EQN,ASXCEN,EQN,EQUINOX RESOURCES LTD,520315765,,AU0000173965,Q35499104,AUD,AU,,F,e4514715,1
STK,EQR,ASXCEN,EQR,EQ RESOURCES LTD,458342384,,AU0000122749,Q3556J102,AUD,AU,,F,e1438807,1
# STK,EQS,ASXCEN,EQS,EQUITY STORY GROUP LTD,559712844,,AU0000208654,Q3593F105,AUD,AU,,F,e4769650,1
STK,EQT,ASX,EQT,EQT HOLDINGS LTD,14063268,,AU000000EQT1,Q35952102,AUD,AU,T,F,e2986614,1
STK,EQX,CHIXAU,EQX,EQUATORIAL RESOURCES LTD,14063244,,AU000000EQX3,Q3554P118,AUD,AU,,F,e1442345,1
STK,ERA,ASX,ERA,ENERGY RESOURCES OF AUST,14063213,,AU000000ERA9,Q35254111,AUD,AU,T,F,e1430906,1
STK,ERAN,ASXCEN,ERAN,ENERGY RESOURCES-NEW SHARES,631041961,,AU0000273534,,AUD,AU,,F,e1430906,1
STK,ERD,CHIXAU,ERD,EROAD LTD,446038402,,NZERDE0001S5,Q3601T105,AUD,AU,,F,e4002776,1
STK,ERG,ASX,ERG,ENECO REFRESH LTD,358040642,,AU0000041881,Q3482Q105,AUD,AU,T,F,e1439130,1
STK,ERL,ASXCEN,ERL,EMPIRE RESOURCES LTD,44200686,,AU000000ERL6,Q3480A102,AUD,AU,,F,e1438782,1
STK,ERM,ASXCEN,ERM,EMMERSON RESOURCES LTD,47623960,,AU000000ERM4,Q34829103,AUD,AU,,F,e1447410,1
STK,ESK,ASX,ESK,ETHERSTACK PLC-CDI,113298782,,AU000000ESK6,G3205Y105,AUD,AU,T,F,e1658643,1
STK,ESR,ASXCEN,ESR,ESTRELLA RESOURCES LTD,107108186,,AU000000ESR1,Q3525T173,AUD,AU,,F,e1651960,1
STK,ETM,ASX,ETM,ENERGY TRANSITION MINERALS L,596693070,,AU0000250250,Q4352V240,AUD,AU,T,F,e1443622,1
STK,EUR,CHIXAU,EUR,EUROPEAN LITHIUM LTD,247671893,,AU000000EUR7,Q3656Y108,AUD,AU,,F,e1618567,1
STK,EV1,ASX,EV1,EVOLUTION ENERGY MINERALS LT,526399348,,AU0000180200,Q3647X102,AUD,AU,T,F,e4555640,1
STK,EV8,CHIXAU,EV8,EVERLAST MINERALS LTD,816100898,,AU0000403917,Q3R41Y111,AUD,AU,,F,e6088348,1
STK,EVE,ASX,EVE,EVE HEALTH GROUP LTD,44201008,,AU000000EVE3,Q3658C112,AUD,AU,T,F,e1438858,1
# STK,EVEN,ASX,EVEN,EVE HEATLH GROUP LTD-NEW,570164175,,AU0000225229,,AUD,AU,T,F,e1438858,1
STK,EVG,CHIXAU,EVG,EVION GROUP NL,600782758,,AU0000254690,Q1R286113,AUD,AU,,F,e3276511,1
